Tone,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1,23.457,0,0,281.49,328.4,328.4,304.95,328.4,304.95,258.03
1,0,0,0,286.83,268.9,286.83,286.83,286.83,17.927,17.927
1,21.304,21.304,0,255.65,255.65,298.26,319.57,255.65,319.57,21.304
1,19.513,0,195.13,331.73,292.7,331.73,312.21,253.67,312.21,19.513
1,20.137,0,20.137,281.92,322.19,342.33,342.33,302.05,281.92,281.92
1,0,0,0,0,345.13,268.43,325.96,345.13,287.61,19.174
1,0,0,19.776,19.776,296.64,296.64,296.64,19.776,19.776,19.776
1,0,0,0,19.776,257.09,257.09,257.09,237.31,19.776,257.09
1,22.5,22.5,22.5,0,22.5,315,337.5,315,292.5,22.5
1,19.342,174.08,193.42,270.79,290.13,309.47,270.79,290.13,270.79,251.45
1,18.299,18.299,274.48,311.08,311.08,292.78,292.78,274.48,18.299,18.299
1,18.686,18.686,18.686,298.98,317.67,317.67,317.67,18.686,18.686,18.686
1,20.704,20.704,289.86,269.15,289.86,310.56,331.27,310.56,20.704,20.704
1,20.704,227.75,289.86,289.86,289.86,331.27,227.75,227.75,20.704,20.704
1,16.897,16.897,16.897,16.897,16.897,16.897,16.897,16.897,16.897,16.897
1,0,0,290.48,26.407,26.407,26.407,290.48,264.07,316.89,316.89
1,20.323,20.323,20.323,325.16,20.323,20.323,284.52,243.87,20.323,20.323
1,20.137,20.137,181.23,302.05,302.05,302.05,322.19,322.19,302.05,302.05
1,23.583,259.41,282.99,259.41,282.99,235.83,259.41,259.41,259.41,23.583
1,227.12,18.927,227.12,302.83,283.91,283.91,302.83,321.76,264.98,18.927
1,236.55,16.897,253.45,270.34,304.14,304.14,321.03,304.14,270.34,16.897
1,15.155,15.155,15.155,15.155,15.155,15.155,30.309,15.155,15.155,15.155
1,17.57,17.57,17.57,17.57,17.57,298.69,316.25,17.57,17.57,17.57
1,12.636,25.272,12.636,12.636,303.27,12.636,12.636,12.636,0,0
1,15.921,15.921,15.921,15.921,302.49,286.57,286.57,15.921,302.49,15.921
1,8.5465,8.5465,17.093,8.5465,17.093,17.093,8.5465,0,0,8.5465
1,0,20.137,0,302.05,302.05,302.05,302.05,302.05,20.137,20.137
1,19.6,19.6,19.6,19.6,19.6,313.6,19.6,19.6,19.6,19.6
1,17.294,17.294,17.294,294,294,276.71,259.41,259.41,259.41,17.294
1,0,20.229,20.229,283.21,283.21,303.44,283.21,222.52,242.75,20.229
1,18,0,18,306,306,306,288,288,288,18
1,17.927,0,286.83,286.83,286.83,358.54,340.61,340.61,358.54,322.68
1,18.846,18.846,18.846,320.38,301.54,282.69,282.69,263.85,263.85,339.23
1,46.667,23.333,233.33,303.33,326.67,326.67,326.67,303.33,303.33,256.67
1,19.6,19.6,19.6,274.4,294,254.8,294,313.6,19.6,19.6
1,18.148,0,18.148,326.67,308.52,272.22,308.52,290.37,18.148,18.148
1,18.529,18.529,0,296.47,277.94,259.41,18.529,240.88,18.529,18.529
1,0,23.457,0,328.4,328.4,328.4,328.4,328.4,258.03,23.457
1,19.258,0,19.258,38.515,327.38,308.12,308.12,269.61,288.86,269.61
1,15.694,0,15.694,15.694,313.88,15.694,15.694,15.694,15.694,15.694
1,20.512,0,20.512,20.512,20.512,307.67,328.19,307.67,20.512,20.512
1,18.148,18.148,18.148,18.148,18.148,326.67,326.67,18.148,18.148,18.148
1,25.2,252,302.4,302.4,277.2,302.4,302.4,277.2,25.2,25.2
1,0,18.686,18.686,298.98,298.98,298.98,317.67,242.92,18.686,18.686
1,21.832,283.81,283.81,305.64,283.81,240.15,218.32,218.32,21.832,21.832
1,23.583,282.99,259.41,282.99,23.583,259.41,306.58,306.58,282.99,282.99
1,22.5,247.5,292.5,292.5,247.5,202.5,202.5,292.5,270,247.5
1,22.615,294,294,316.62,316.62,316.62,316.62,316.62,294,248.77
1,22.386,313.4,313.4,313.4,313.4,313.4,291.02,313.4,22.386,0
1,18.927,18.927,18.927,18.927,18.927,302.83,18.927,18.927,18.927,18.927
1,237.1,308.23,308.23,308.23,308.23,308.23,284.52,284.52,23.71,23.71
1,23.583,282.99,259.41,259.41,282.99,306.58,282.99,306.58,306.58,306.58
1,25.941,285.35,285.35,337.24,337.24,311.29,25.941,259.41,285.35,25.941
1,238.38,286.05,286.05,262.22,238.38,238.38,309.89,286.05,238.38,23.838
1,19.091,19.091,324.55,305.45,248.18,267.27,267.27,305.45,324.55,305.45
1,20.417,265.42,20.417,20.417,245,20.417,20.417,20.417,20.417,20.417
1,254.91,305.9,280.4,280.4,305.9,305.9,331.39,331.39,305.9,25.491
1,181.86,272.78,272.78,272.78,318.25,295.52,295.52,295.52,318.25,22.732
1,133.64,267.27,311.82,289.55,289.55,289.55,289.55,222.73,245,267.27
1,19.091,267.27,267.27,305.45,324.55,305.45,324.55,305.45,305.45,267.27
1,23.333,256.67,280,256.67,280,280,303.33,326.67,280,23.333
1,0,21.1,21.1,253.21,295.41,337.61,21.1,232.11,21.1,274.31
1,20.045,20.045,220.5,300.68,260.59,260.59,260.59,240.55,20.045,220.5
2,21.94,21.94,219.4,21.94,21.94,21.94,21.94,21.94,0,21.94
2,230.89,230.89,230.89,230.89,253.98,207.8,230.89,277.07,230.89,23.089
2,679.96,233.13,213.7,19.427,213.7,233.13,19.427,213.7,19.427,19.427
2,191.74,623.15,215.71,215.71,215.71,239.67,263.64,311.58,287.61,335.54
2,243.5,243.5,27.055,27.055,27.055,243.5,243.5,27.055,0,0
2,220.5,220.5,220.5,220.5,220.5,196,245,245,220.5,24.5
2,232.11,232.11,232.11,232.11,232.11,232.11,232.11,208.89,255.32,23.211
2,236.63,215.12,215.12,215.12,236.63,236.63,258.15,21.512,21.512,21.512
2,228.1,228.1,633.62,430.86,228.1,228.1,253.45,253.45,304.14,25.345
2,53.78,215.12,215.12,215.12,26.89,242.01,242.01,322.68,26.89,26.89
2,25.941,25.941,233.47,233.47,155.65,259.41,207.53,259.41,259.41,259.41
2,22.161,22.161,22.161,22.161,22.161,22.161,243.77,22.161,265.93,22.161
2,26.407,184.85,26.407,105.63,237.66,211.26,237.66,237.66,264.07,290.48
2,44.772,0,201.47,22.386,22.386,201.47,223.86,268.63,291.02,22.386
2,0,0,0,175.4,225.51,250.57,200.45,250.57,275.63,300.68
2,23.089,161.62,184.71,184.71,230.89,253.98,253.98,207.8,23.089,253.98
2,20.704,20.704,165.63,165.63,248.45,227.75,269.15,289.86,289.86,20.704
2,0,0,196.49,196.49,218.32,240.15,240.15,261.98,305.64,305.64
2,21.618,0,0,172.94,21.618,21.618,259.41,259.41,237.79,302.65
2,18.452,0,0,221.42,221.42,221.42,221.42,18.452,18.452,18.452
2,22.161,22.161,22.161,243.77,22.161,177.29,243.77,243.77,288.09,22.161
2,17.927,17.927,17.927,0,17.927,17.927,17.927,17.927,304.76,250.98
2,20.9,20.9,0,20.9,20.9,20.9,229.91,20.9,20.9,20.9
2,19.513,0,0,19.513,19.513,214.65,19.513,19.513,253.67,19.513
2,19.688,0,19.688,19.688,196.88,19.688,196.88,236.25,216.56,275.63
2,19.174,19.174,19.174,230.09,230.09,230.09,230.09,230.09,287.61,268.43
2,21.94,21.94,21.94,263.28,241.34,241.34,263.28,263.28,307.16,351.04
2,20.229,20.229,20.229,20.229,20.229,20.229,20.229,20.229,283.21,303.44
2,21.1,0,0,0,21.1,211,189.9,232.11,253.21,295.41
2,26.407,26.407,0,0,13.204,13.204,13.204,13.204,0,13.204
2,16.036,0,0,0,16.036,224.51,16.036,16.036,256.58,240.55
2,220.5,220.5,24.5,220.5,220.5,245,269.5,294,294,24.5
2,26.25,26.25,26.25,236.25,26.25,26.25,26.25,26.25,26.25,26.25
2,25.2,25.2,226.8,226.8,25.2,25.2,25.2,226.8,25.2,25.2
2,216.18,216.18,216.18,216.18,216.18,194.56,237.79,237.79,281.03,259.41
2,235.83,235.83,212.25,212.25,23.583,259.41,282.99,23.583,23.583,0
2,21.94,219.4,241.34,219.4,263.28,21.94,263.28,307.16,21.94,21.94
2,22.969,229.69,229.69,206.72,206.72,252.66,252.66,252.66,321.56,22.969
2,228.5,228.5,228.5,205.65,251.35,159.95,251.35,297.05,251.35,22.85
2,51.279,25.64,25.64,153.84,25.64,25.64,25.64,25.64,25.64,25.64
2,50.114,225.51,25.057,225.51,250.57,250.57,275.63,300.68,300.68,25.057
2,24.098,24.098,24.098,24.098,216.89,24.098,240.98,240.98,289.18,216.89
2,49,196,196,196,196,196,245,269.5,269.5,294
2,165.97,189.68,237.1,237.1,213.39,237.1,260.81,260.81,284.52,260.81
2,245.98,228.41,228.41,17.57,17.57,17.57,17.57,17.57,0,0
2,18.452,18.452,239.87,239.87,276.78,18.452,18.452,0,18.452,0
2,24.637,147.82,24.637,221.73,172.46,271.01,246.37,295.64,295.64,271.01
2,22.273,22.273,22.273,22.273,222.73,222.73,222.73,22.273,245,22.273
2,21.94,21.94,197.46,21.94,219.4,21.94,241.34,285.22,307.16,21.94
2,21.202,212.02,233.22,233.22,254.42,254.42,21.202,21.202,360.43,0
2,23.583,212.25,235.83,235.83,235.83,259.41,259.41,282.99,23.583,23.583
2,238.38,238.38,238.38,178.78,208.58,208.58,268.18,268.18,29.797,327.77
2,240.98,240.98,240.98,240.98,216.89,240.98,216.89,216.89,265.08,24.098
2,225,225,225,225,225,247.5,225,247.5,247.5,315
2,0,23.583,235.83,235.83,235.83,235.83,259.41,259.41,282.99,306.58
2,0,20.229,20.229,20.229,20.229,20.229,20.229,262.98,20.229,20.229
2,19.174,19.174,19.174,19.174,210.91,230.09,230.09,19.174,19.174,19.174
2,23.457,23.457,211.12,234.57,234.57,234.57,211.12,234.57,281.49,281.49
2,19.091,19.091,19.091,19.091,19.091,248.18,19.091,0,0,0
2,21.512,258.15,236.63,215.12,215.12,258.15,236.63,215.12,236.63,279.66
2,18.074,18.074,0,36.148,234.96,216.89,234.96,253.03,18.074,289.18
2,22.85,22.85,228.5,228.5,228.5,251.35,251.35,274.2,228.5,22.85
2,18.375,18.375,220.5,220.5,202.13,18.375,18.375,220.5,275.63,330.75
2,20.9,229.91,229.91,20.9,20.9,20.9,0,20.9,0,0
2,240.98,240.98,216.89,216.89,240.98,240.98,265.08,289.18,289.18,24.098
2,23.583,23.583,23.583,212.25,212.25,23.583,23.583,235.83,259.41,23.583
2,22.161,221.61,22.161,22.161,221.61,22.161,22.161,22.161,22.161,22.161
2,229.42,229.42,229.42,229.42,229.42,254.91,280.4,280.4,280.4,280.4
2,24.5,196,24.5,196,196,24.5,24.5,245,24.5,24.5
2,23.457,23.457,23.457,23.457,0,23.457,0,23.457,23.457,0
2,240.98,240.98,24.098,216.89,192.79,240.98,24.098,24.098,24.098,24.098
2,21.202,21.202,21.202,21.202,0,21.202,21.202,21.202,0,0
2,43.663,240.15,218.32,240.15,218.32,240.15,261.98,283.81,283.81,21.832
2,232.11,232.11,232.11,232.11,232.11,257.89,257.89,257.89,25.789,25.789
2,23.838,214.54,23.838,214.54,166.86,238.38,238.38,238.38,309.89,286.05
2,222.98,222.98,222.98,222.98,222.98,222.98,941.46,272.53,272.53,222.98
2,23.838,214.54,214.54,214.54,214.54,238.38,262.22,23.838,286.05,262.22
2,210,23.333,210,210,210,23.333,23.333,233.33,210,233.33
2,21,210,210,231,231,231,231,21,21,315
2,45.231,226.15,226.15,226.15,203.54,248.77,248.77,271.38,294,316.62
2,27.222,27.222,245,217.78,245,245,245,272.22,299.44,27.222
2,0,0,226.15,22.615,22.615,226.15,248.77,22.615,22.615,22.615
2,18.299,18.299,18.299,237.88,219.59,237.88,182.99,256.18,256.18,18.299
2,21.832,240.15,240.15,240.15,240.15,21.832,21.832,21.832,218.32,21.832
2,22.732,22.732,227.32,227.32,227.32,250.05,272.78,272.78,295.52,22.732
